site;gini;PC1nutri;PC2nutri;valor_s;valor_t;ph;faba;silte;PC1;PC2;biomassa_z_kg;log_biomass;produt_z_g.ano;log_produt;SR;PD;MPD;MNTD;SESPD;SESMPD;SESMNTD;SESPDab;SESMPDab;SESMNTDab;PSV;PSR;PSE;PSEab;PSC;ppt;tmax;tmin;pet;vpd;altitude;declividade;idade_anos;unbias.simp;shannon;mcwd;pcps1;pcps2;riq_inicial;c_solo;c_soloid;n_solo;n_sid;c.n_solo;c.n_soloid;PC1_clima
CSA;0.49425876;-1.323565162;-0.3601127;2.7;7.3;4.8;0.897369156;112.5;-1.850948211;0.216301499;588.2837688;6.377209432;73535.47111;11.20552317;12;1047.817274;0.280505838;0.256310777;-0.099307358;-0.216051993;0.116660708;-0.092986364;-0.218330869;0.0595917;0.805166464;9.661997572;0.306006369;0.794711513;0.525346284;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.93015873;2.406720313;-775.5800903;-0.217053127;0.066363969;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.471482942;-1.323565162;-0.3601127;2.7;7.3;4.8;0.900643448;112.5;-1.850948211;0.216301499;399.7850629;5.99092706;49973.13286;10.8192408;11;806.959585;0.205846115;0.241174268;-1.900660512;-3.389475608;-0.92567737;-2.058689755;-3.08257505;-0.975723551;0.679927031;7.479197343;0.226430727;0.679123245;0.44821842;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.929230769;2.304367673;-775.5800903;-0.220660714;0.070491803;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.383252497;-1.323565162;-0.3601127;2.7;7.3;4.8;0.607839652;112.5;-1.850948211;0.216301499;391.2176091;5.96926395;48902.20114;10.79757769;14;1056.42802;0.524714825;0.450076566;-1.207244616;-2.90172633;-0.52261048;-1.185784859;-3.13294763;-0.407869665;0.7011849;9.816588605;0.565077505;0.675356851;0.459975509;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.935384615;2.46166235;-775.5800903;0.016365424;-0.106398184;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.397070203;-1.323565162;-0.3601127;2.7;7.3;4.8;0.864654442;112.5;-1.850948211;0.216301499;445.6013637;6.099424749;55700.17046;10.92773849;11;803.963308;0.343772351;0.266107345;-2.316564928;-2.772819967;-1.142921285;-1.999686204;-2.974672379;-1.093482007;0.685582314;7.54140545;0.378149587;0.682589482;0.431753609;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.941520468;2.305657338;-775.5800903;-0.196621012;0.045943675;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.35074838;-1.323565162;-0.3601127;2.7;7.3;4.8;0.88068954;112.5;-1.850948211;0.216301499;303.0902115;5.714030489;37886.27643;10.54234423;14;984.094892;0.343744806;0.276883504;-1.913887896;-3.975350336;-0.820136516;-2.055375642;-4.188674272;-0.882412555;0.661283319;9.257966459;0.370186715;0.634651626;0.434979785;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.967320261;2.553237003;-775.5800903;-0.201892433;0.048973044;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.458187457;-1.323565162;-0.3601127;2.7;7.3;4.8;0.375039675;112.5;-1.850948211;0.216301499;463.3077498;6.13839152;57913.46873;10.96670526;12;950.087806;0.492214484;0.44326411;-0.92794221;-0.599039934;-1.295487579;-1.184151792;-0.679738101;-1.403052016;0.786674796;9.44009755;0.536961255;0.806219072;0.412046436;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.928853755;2.329186614;-775.5800903;0.165327763;-0.089478538;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
CSA;0.466005224;-1.323565162;-0.3601127;2.7;7.3;4.8;0.927212206;112.5;-1.850948211;0.216301499;615.715813;6.422785515;76964.47663;11.25109925;13;967.424198;0.186935828;0.249228332;-1.593552937;-3.309812813;-0.589465637;-1.707721362;-3.159276639;-0.542530002;0.685494721;8.911431371;0.202513814;0.675129333;0.46230788;115.6266674;28.3666667;18.7433332;95.835;0.739666667;40;2.5;8;0.907563025;2.335218102;-775.5800903;-0.234723017;0.085075724;37;1.105;0.138125;0.11;0.01375;10.04545455;1.255681818;0.555917011
EEG;0.405012599;-0.886316114;1.654800814;2.3;5.25;5.3;0.778270722;50;-1.16249425;-0.233235744;295.1973369;5.687644071;73799.33422;11.20910499;11;811.379724;0.399213291;0.272538857;-2.039709105;-1.949766413;-1.577645359;-1.271176166;-1.247385411;-1.311400049;0.727785945;8.005645398;0.439134622;0.760452278;0.398171145;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;0.961538462;2.245035274;-8693.223145;-0.148821804;0.007017687;98;0.915;0.22875;0.075;0.01875;12.2;3.05;1.664506767
EEG;0.376263466;-0.886316114;1.654800814;2.3;5.25;5.3;0.362818771;50;-1.16249425;-0.233235744;357.352151;5.878721713;89338.03776;11.40018263;10;768.163473;0.408389319;0.353443695;-1.527697643;-1.838147903;-1.200282108;-1.63663246;-1.821499581;-1.190735125;0.724682382;7.246823824;0.45376591;0.734570447;0.438727748;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;0.923809524;2.153532457;-8693.223145;0.251468035;-0.022356683;98;0.915;0.22875;0.075;0.01875;12.2;3.05;1.664506767
EEG;0.360013566;-0.886316114;1.654800814;2.3;5.25;5.3;0.613207237;50;-1.16249425;-0.233235744;449.9545038;6.109146475;112488.626;11.63060739;12;838.295403;0.556106782;0.303850144;-2.202379089;-3.398673297;-1.412063229;-2.376013275;-3.490394311;-1.392794153;0.674031337;8.088376042;0.606661944;0.67552968;0.402442247;93.52500006;28.2683334;19.52833333;104.9766667;0.769;28;0;4;0.966666667;2.426015132;-8693.223145;0.035532792;-0.118102824;98;0.915;0.22875;0.075;0.01875;12.2;3.05;1.664506767
